Route,Year,x,y,Effort,Habitat,JunJul,DJF,AprMay,Phylloscopus_trochilus,Turdus_iliacus,Fringilla_coelebs,Turdus_philomelos,Carduelis_spinus,Parus_major,Anthus_trivialis,Erithacus_rubecula,Cuculus_canorus,Muscicapa_striata,Ficedula_hypoleuca,Turdus_pilaris,Loxia_curvirostra,Columba_palumbus,Sylvia_borin,Corvus_corone,Dendrocopos_major,Emberiza_citrinella,Turdus_merula,Sylvia_curruca,Regulus_regulus,Prunella_modularis,Phoenicurus_phoenicurus,Parus_caeruleus,Parus_montanus,Motacilla_alba,Carduelis_chloris,Phylloscopus_collybita,Tringa_ochropus,Parus_cristatus,Sylvia_communis,Grus_grus,Larus_canus,Pica_pica,Phylloscopus_sibilatrix,Turdus_viscivorus,Hirundo_rustica,Sylvia_atricapilla,Tetrao_tetrix,Pyrrhula_pyrrhula,Dryocopus_martius,Certhia_familiaris,Alauda_arvensis,Corvus_corax,Saxicola_rubetra,Garrulus_glandarius,Numenius_arquata,Carpodacus_erythrinus,Gallinago_gallinago,Corvus_monedula
10,2012,4935.1,4187.2,6200,Co,17.689,-0.71685,6.01795,26,2,68,2,13,3,15,2,0,3,18,1,0,0,7,6,1,6,5,9,0,0,3,2,0,2,2,0,0,1,4,0,1,0,1,0,2,2,0,0,0,0,2,1,0,0,0,5,0,0
10,2010,4935.1,4187.2,6100,Co,14.641,-5.0844,5.50565,36,3,54,1,27,11,23,7,1,7,6,2,2,12,7,10,0,5,4,2,0,0,3,1,0,2,9,0,0,3,4,1,4,1,0,0,4,3,0,0,1,0,3,0,0,0,0,2,0,0
10,2011,4935.1,4187.2,6200,Co,16.241,-5.7844,6.115,22,2,54,12,7,9,24,2,3,4,4,0,0,2,6,2,0,1,8,3,1,0,3,0,1,2,5,0,0,4,9,0,5,1,1,0,7,1,0,0,0,0,0,0,0,0,0,3,0,0
10,2013,4935.1,4187.2,6300,Co,14.62,-2.4211,6.59685,23,0,65,6,18,2,16,2,0,4,15,0,8,6,3,3,0,0,10,7,0,0,1,1,0,1,2,0,0,5,3,0,4,0,0,0,12,1,0,0,0,1,1,2,0,0,0,2,0,0
13,2014,5028.6,4167.9,6200,Op,16.777,-0.89438,7.57005,33,9,56,15,7,17,20,11,3,5,2,5,4,0,7,1,5,13,9,5,4,1,4,5,0,5,8,1,1,3,0,1,2,0,5,2,0,1,0,0,0,1,1,0,0,0,0,0,1,4
13,2008,5028.6,4167.9,6000,Op,16.17,1.6319,7.9115,36,6,51,14,17,16,31,10,8,9,8,6,20,9,7,7,10,15,3,4,10,0,3,5,1,2,1,0,0,7,2,1,3,0,3,2,1,2,3,1,9,2,0,1,0,2,0,0,0,1
13,2012,5028.6,4167.9,6150,Op,18.01,-2.1326,6.89045,31,17,56,16,7,18,28,12,6,8,6,3,4,7,7,4,7,20,11,3,6,2,3,5,0,5,2,0,2,7,4,0,7,0,1,3,0,5,4,0,2,3,1,1,0,1,0,0,0,1
13,2010,5028.6,4167.9,6000,Op,15.121,-6.8967,7.08035,23,9,49,8,16,18,28,10,8,7,8,5,1,11,9,10,7,12,10,1,3,1,5,2,1,1,3,1,0,4,2,2,1,0,0,0,1,1,6,0,2,0,1,1,0,1,0,0,0,2
13,2013,5028.6,4167.9,6200,Op,14.746,-4.0422,7.11365,37,13,44,11,12,13,30,8,4,5,6,5,21,11,8,4,2,16,13,4,2,1,1,10,0,1,0,0,1,1,3,1,1,0,0,3,0,3,1,0,2,1,0,0,0,2,0,0,0,2
14,2013,5052.3,4171.7,6300,Co,14.754,-4.3011,7.31365,51,9,56,8,8,11,25,7,3,6,5,4,33,10,4,5,6,6,11,6,0,6,2,5,3,1,0,4,2,2,9,2,17,0,1,8,0,7,7,0,1,0,3,1,1,1,0,3,0,0
14,2007,5052.3,4171.7,6000,Co,16.784,-1.3556,7.476,33,8,87,5,20,17,17,8,6,13,9,13,2,7,5,14,5,6,8,3,6,4,0,6,0,5,7,1,1,8,11,4,4,0,0,0,1,1,1,0,2,4,3,7,1,3,0,3,0,2
14,2011,5052.3,4171.7,6150,Co,17.408,-7.4178,7.3003,42,9,34,15,6,10,17,8,3,4,7,11,1,11,6,5,3,9,11,4,2,4,3,2,0,1,5,2,3,2,6,1,14,0,4,4,1,2,6,1,1,2,3,1,3,1,1,3,0,4
14,2006,5052.3,4171.7,5880,Co,16.359,-4.0089,6.69135,34,0,29,5,7,8,22,10,5,1,1,1,6,7,5,5,2,7,4,1,2,0,0,1,0,3,1,1,1,1,0,1,6,1,0,1,0,0,2,0,3,2,4,1,1,0,0,1,1,0
14,2010,5052.3,4171.7,6150,Co,15.084,-7.2744,7.261,59,12,70,16,10,12,29,9,4,9,9,18,4,10,7,6,3,20,13,4,2,9,1,3,1,2,1,2,1,3,2,3,20,0,7,5,1,1,3,1,2,4,8,1,2,2,0,3,0,6
14,2014,5052.3,4171.7,6300,Co,16.934,-1.1337,7.74435,62,13,76,17,7,15,31,3,1,3,3,9,0,10,11,6,2,14,6,11,3,4,2,9,3,2,0,1,2,4,6,5,6,0,3,3,2,3,7,0,2,1,6,1,1,1,0,3,1,0
14,2012,5052.3,4171.7,6150,Co,17.993,-2.4506,7.02415,36,5,50,9,4,10,25,9,2,2,5,7,1,15,5,2,5,11,12,3,2,3,1,5,0,2,2,2,1,6,6,4,27,0,5,1,0,3,0,1,2,1,3,1,2,2,0,1,0,2
15,2006,5077.6,4178.,6000,Urb,16.311,-4.4544,6.48425,64,3,94,28,7,19,6,7,2,7,7,14,4,4,14,3,7,21,6,1,2,3,0,1,1,1,11,0,1,3,14,1,4,1,2,0,2,4,0,0,2,4,31,0,2,0,0,0,0,4
15,2010,5077.6,4178.,6000,Urb,15.026,-7.5311,7.1155,23,8,50,10,7,7,8,12,1,1,1,12,0,9,14,3,1,16,13,1,1,3,1,11,0,1,4,2,0,4,8,2,42,4,1,2,1,4,1,0,4,0,12,1,0,1,1,1,0,9
15,2011,5077.6,4178.,6000,Urb,17.416,-7.5167,7.2986,34,2,61,10,4,28,9,10,1,7,5,12,0,15,22,12,3,19,16,8,3,5,0,14,1,0,4,1,2,1,17,2,19,3,7,2,3,5,1,0,2,1,20,0,0,2,0,2,0,9
15,2008,5077.6,4178.,6000,Urb,15.907,1.0462,7.83485,38,10,76,3,2,14,19,11,4,7,12,12,3,8,8,4,4,26,14,2,0,1,0,4,1,1,17,0,1,0,17,1,20,6,0,2,1,7,0,0,2,4,49,0,0,0,0,2,0,1
15,2012,5077.6,4178.,6000,Urb,17.798,-2.6,6.91815,18,3,66,9,8,18,13,11,3,6,4,8,2,23,13,4,3,19,5,1,5,4,0,9,0,2,2,1,0,2,19,4,49,2,5,0,2,9,2,1,1,2,24,0,1,0,0,2,0,13
15,2013,5077.6,4178.,6000,Urb,14.608,-4.37,7.114,27,1,54,12,5,16,7,5,6,10,7,9,7,13,17,3,6,12,8,3,4,3,0,15,1,1,1,2,1,1,15,4,24,4,1,1,3,10,1,0,1,1,24,2,2,0,0,3,0,5
15,2014,5077.6,4178.,6000,Urb,16.887,-1.2742,7.70685,31,2,53,15,5,15,4,15,3,4,4,11,3,12,14,3,2,18,4,4,13,1,0,8,0,1,3,0,1,2,15,2,36,7,8,1,5,8,1,0,1,1,15,2,0,0,0,1,0,21
16,2012,5101.1,4183.9,6000,Co,17.772,-2.4157,6.88365,25,0,67,23,11,11,7,8,8,6,6,8,1,20,7,6,6,10,9,2,4,3,0,11,1,5,1,0,0,1,6,0,7,2,1,0,0,0,2,0,0,2,16,0,0,0,0,0,0,3
16,2007,5101.1,4183.9,6000,Co,16.643,-1.3044,7.1499,39,2,109,13,15,16,18,20,3,3,21,6,1,9,9,14,6,16,13,5,4,3,0,1,0,5,5,1,1,5,12,0,9,5,2,1,2,0,1,0,1,4,45,1,0,0,0,1,0,2
16,2011,5101.1,4183.9,6000,Co,17.385,-7.2544,7.08615,26,0,50,16,14,8,13,7,2,7,12,1,0,11,4,7,1,8,9,6,1,3,3,3,1,4,1,1,0,1,4,1,0,2,0,0,0,0,0,0,0,0,21,1,0,0,0,1,0,0
16,2014,5101.1,4183.9,6000,Co,16.803,-1.1775,7.6335,35,4,80,0,12,20,9,10,7,10,15,12,2,13,13,5,2,9,20,2,1,1,0,2,0,8,1,0,1,0,3,0,0,2,4,1,0,2,0,0,1,0,10,5,1,1,1,1,0,4
16,2010,5101.1,4183.9,6000,Co,15.013,-7.3078,6.9285,14,3,35,7,5,9,4,5,4,2,17,5,7,5,11,13,2,8,6,1,1,3,3,3,0,4,1,0,0,2,9,1,13,2,2,1,3,2,1,0,0,3,16,1,0,0,0,0,1,5
17,2006,5125.900000000001,4190.1,6000,Urb,16.146,-4.2556,5.93615,14,1,41,5,7,15,13,9,6,0,1,4,4,6,1,3,7,9,8,1,1,2,0,1,2,3,4,0,1,3,2,1,5,0,1,0,2,1,0,0,1,1,19,0,0,0,0,0,0,5
17,2007,5125.900000000001,4190.1,6000,Urb,16.511,-1.39,6.90865,25,1,40,6,0,13,15,0,1,6,4,4,1,7,2,12,3,12,5,3,0,3,0,4,0,7,5,0,0,0,7,10,27,0,1,2,2,0,2,0,0,0,41,0,0,0,0,1,0,13
17,2008,5125.900000000001,4190.1,6000,Urb,15.772,1.2088,7.39365,15,2,37,12,5,13,19,2,7,1,0,3,10,13,2,10,6,18,6,4,5,2,0,3,1,3,2,0,1,2,2,2,25,2,4,1,0,0,1,0,3,3,21,1,1,0,0,0,0,4
17,2009,5125.900000000001,4190.1,6000,Urb,15.425,-1.4822,6.7879,13,0,41,16,6,17,19,3,5,3,0,1,5,12,3,7,7,23,7,3,3,0,3,3,1,2,1,0,0,1,7,1,12,0,1,4,0,0,0,0,1,3,24,0,1,0,0,0,0,7
20,2014,4876.6,4153.3,6300,Urb,15.297,0.72022,6.8966,23,4,43,6,11,17,13,7,2,2,3,8,2,9,9,11,0,16,13,0,5,2,2,8,0,6,10,2,0,1,8,0,2,7,2,0,2,6,0,0,0,0,19,2,0,0,1,0,0,13
20,2012,4876.6,4153.3,6300,Urb,17.169,-0.74382,6.1337,14,4,65,11,11,31,3,15,4,7,6,12,2,17,12,13,5,28,18,2,4,2,0,20,1,2,6,2,0,0,11,1,3,8,1,3,7,7,0,0,0,0,18,3,0,0,1,0,0,8
20,2009,4876.6,4153.3,6000,Urb,15.474,-0.49556,6.91905,20,0,40,9,12,28,10,9,3,3,5,8,3,13,5,17,4,15,20,4,6,2,0,12,0,4,11,4,0,1,14,1,12,4,1,0,3,4,0,0,0,1,13,2,0,1,0,1,0,24
20,2008,4876.6,4153.3,6000,Urb,15.497,2.1484,7.10005,19,3,40,10,8,18,8,9,1,9,8,5,3,8,10,8,6,14,22,2,5,2,0,10,0,8,12,0,0,0,11,0,4,7,3,2,4,6,0,0,2,1,12,0,1,1,0,0,0,4
24,2014,4975.900000000001,4176.3,6000,Co,16.326,-0.3,7.11275,32,9,65,20,6,17,16,9,8,7,6,4,8,5,10,0,1,14,5,5,11,6,1,5,2,0,0,0,2,3,1,4,0,1,4,4,1,1,1,0,2,2,1,1,0,1,0,0,2,0
24,2010,4975.900000000001,4176.3,6000,Co,14.88,-6.02,6.55865,39,21,57,19,16,17,23,13,6,7,3,1,4,17,7,1,3,13,14,2,2,3,3,5,0,2,0,0,3,1,1,5,2,1,3,0,0,4,1,0,2,1,3,4,0,0,0,0,2,1
24,2008,4975.900000000001,4176.3,6000,Co,16.148,1.9352,7.5569,31,11,46,10,7,13,21,10,8,8,5,3,18,18,8,2,4,15,13,2,6,1,1,1,2,3,0,0,2,6,3,4,0,0,1,1,1,0,0,0,1,2,5,0,0,3,0,0,1,0
24,2013,4975.900000000001,4176.3,6000,Co,14.87,-3.25,6.663,33,9,64,21,8,13,16,3,3,10,2,4,4,13,5,0,1,17,13,1,2,1,0,4,3,1,1,0,0,0,0,2,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,2008,4998.1,4181.9,6000,Co,16.193,1.8593,7.64285,34,9,71,12,7,14,22,13,2,2,1,4,8,12,9,0,5,18,16,3,6,2,0,2,1,0,3,6,0,3,0,1,0,0,1,1,0,3,1,0,4,0,1,0,0,0,0,0,0,0
25,2011,4998.1,4181.9,6000,Co,17.085,-6.7889,6.42575,47,9,58,16,6,12,23,12,3,7,3,3,0,11,13,2,2,16,11,3,4,4,0,2,0,0,0,6,0,1,0,1,5,0,2,3,0,5,0,0,2,0,1,0,0,1,0,0,0,0
25,2014,4998.1,4181.9,6000,Co,16.513,-0.57191,7.07465,32,5,50,13,9,12,11,12,3,1,2,8,14,11,9,0,2,24,9,3,8,3,0,1,5,4,3,6,3,1,2,1,0,0,5,4,0,4,0,0,0,1,2,0,0,1,0,0,0,0
25,2010,4998.1,4181.9,6000,Co,14.952,-6.3344,6.63115,28,4,75,9,7,11,26,9,3,2,1,6,5,17,15,1,1,12,10,2,7,3,0,0,0,0,0,6,0,3,0,1,0,0,1,6,1,4,0,0,3,1,1,0,0,2,0,1,0,0
25,2013,4998.1,4181.9,6000,Co,14.808,-3.6544,6.5915,23,4,71,16,21,17,19,9,7,2,2,10,19,14,11,0,5,17,10,1,10,1,0,0,1,0,0,11,2,1,2,2,3,0,1,7,0,3,2,0,0,1,2,0,0,2,0,0,0,1
