x,y,Habitat,JunJul,DJF,AprMay
4951.,4897.,Br,13.798,-10.305,4.09123
5153.,4251.,Urb,16.461,-4.5225,7.68035
5211.,4427.,We,15.611,-6.7072,6.70495
5295.,4533.,We,16.082,-7.3967,5.71015
5067.,5043.,We,12.431,-11.56,2.2195
4929.,4473.,Urb,15.114,-4.666,6.2792
5141.,4749.,Br,14.287,-8.8186,4.65525
5345.,4507.,We,15.878,-7.4927,5.5902
5055.,4677.,Br,14.767,-7.4917,5.64185
4967.,4901.,We,13.786,-10.251,4.07222
5055.,4545.,Co,14.447,-6.9744,5.6405
5205.,4683.,Co,14.605,-8.6573,5.05145
5037.,4511.,Co,14.661,-6.6082,5.9104
5191.,4787.,Co,13.55,-9.8561,3.722725
5309.,4565.,We,15.701,-7.877,6.03435
5243.,4335.,Co,16.616,-5.764,7.37525
5155.,4445.,Br,15.39,-6.5787,6.52705
5179.,4311.,We,16.319,-5.2646,7.248
5197.,4321.,Co,16.559,-5.3664,7.56825
5115.,4185.,Ma,16.194,-3.1537,7.1795
4935.,4927.,Co,13.957,-10.63,4.29502
5215.,4407.,Br,15.611,-6.7072,6.70495
5007.,4415.,Co,14.758,-5.7769,6.30115
5049.,4799.,Co,14.243,-8.2921,4.0147
5099.,4237.,Urb,15.727,-4.6203,7.1666
5153.,4549.,We,15.397,-7.2364,6.22305
5055.,4207.,Co,16.108,-3.6718,7.3952
5149.,5031.,Co,11.745,-11.401,1.94155
5025.,4599.,Co,14.354,-6.904,5.55555
5029.,5019.,We,13.063,-11.305,3.074105
5037.,4513.,Co,14.661,-6.6082,5.9104
4943.,5147.,Op,11.291,-11.633,1.55635
5013.,4887.,Br,14.154,-9.3004,4.333475
5237.,4271.,Br,16.466,-4.452,7.33475
5085.,4705.,Co,14.642,-8.1125,5.4367
4919.,4361.,Ma,14.338,-2.5579,5.5198
4971.,4285.,Urb,15.593,-3.5375,7.01515
5021.,4851.,Co,14.097,-9.2258,4.22007
5007.,5197.,Co,11.408,-11.756,1.7997
5173.,4757.,Op,13.79,-9.0886,4.135615
5133.,4549.,Co,15.306,-7.088,6.1823
5119.,4353.,Br,15.738,-5.5449,6.3168
4931.,4441.,Co,14.786,-4.6611,6.0222
5071.,4635.,Br,14.906,-7.5349,5.7113
5089.,4727.,We,14.777,-7.9523,5.2288
5253.,4539.,Co,15.9,-7.4218,5.87175
5063.,4539.,Co,14.775,-6.9087,5.8847
4767.,5157.,Op,7.2534,-10.934,-2.343665
4979.,4443.,Co,14.994,-5.5229,6.4909
5185.,4351.,Br,16.32,-5.6596,7.21925
5101.,4805.,Co,14.46,-9.0813,4.565555
5237.,4685.,We,14.56,-8.9615,4.91795
5259.,4533.,We,15.9,-7.4218,5.87175
5153.,4975.,Co,12.394,-11.169,2.557625
5095.,4911.,Co,13.419,-10.188,3.499835485
5037.,4785.,Co,14.552,-7.4454,4.1586
5143.,4759.,Co,14.164,-8.9068,4.52377
5031.,4243.,Co,15.995,-4.0774,7.39235
4913.,4431.,Co,14.845,-4.2641,5.9376
5173.,4729.,Op,14.158,-8.7657,4.56785
4905.,5119.,Br,10.54,-11.986,0.25415
5275.,4391.,Co,16.492,-6.3001,6.93845
5167.,4787.,Br,13.948,-9.5788,4.162425
5033.,4431.,We,14.68,-6.2443,6.10645
5049.,4153.,Ma,15.823,-1.8409,6.58295
4827.,5093.,We,10.856,-13.026,0.4846
5157.,4595.,Urb,15.056,-7.5848,5.9161
4965.,4971.,Op,12.98,-10.971,3.2404645
5015.,5163.,Co,11.598,-11.309,2.0034
5109.,4963.,Co,13.208,-10.623,3.3694905
5189.,4789.,Br,13.55,-9.8561,3.722725
5039.,4699.,Br,14.283,-6.6136,5.0462
4985.,4295.,Urb,15.741,-3.9853,7.2564
4995.,5037.,Br,12.444,-11.284,2.547665
5305.,4401.,Co,16.34,-6.3594,6.80115
5155.,4579.,Co,15.142,-7.5593,5.90075
4923.,4981.,Co,12.805,-11.121,3.1789775
4977.,5115.,Br,11.421,-11.573,1.7041
4987.,4297.,Co,15.741,-3.9853,7.2564
5103.,4523.,We,15.521,-6.7669,6.43335
5053.,4175.,Co,16.015,-2.7623,7.072
5103.,4509.,Co,15.185,-6.7866,6.2294
5123.,5095.,Co,11.819,-10.14,2.271505
5209.,4893.,We,12.951,-10.694,2.67812
5025.,4377.,Co,15.255,-5.4024,6.51455
4923.,4499.,Br,15.208,-4.4559,6.3452
5249.,4595.,Co,14.734,-8.5318,5.24955
4997.,4617.,Co,13.717,-5.0502,4.40675
4849.,5099.,Br,10.814,-12.725,0.3179
5057.,4497.,We,14.636,-6.7412,5.84025
5009.,4575.,Co,14.558,-6.5659,5.77195
5091.,4627.,Urb,14.555,-7.6914,5.58
5159.,4925.,Co,13.021,-10.79,2.943785
5283.,4343.,Br,16.61,-5.8351,7.09655
5115.,4773.,Co,14.47,-8.8445,4.70365
4955.,4247.,Urb,15.426,-2.3769,6.42615
5001.,5041.,We,11.863,-11.63,1.9356
5161.,4957.,Br,12.691,-11.153,2.69789
5143.,4829.,Co,13.585,-10.066,3.7029935
5285.,4631.,Co,14.739,-8.8778,5.11745
5027.,4455.,Co,14.784,-6.1489,6.23185
5059.,4687.,Co,14.76,-7.385,5.67735
5311.,4695.,Co,14.35,-9.5471,4.38597
4857.,4167.,Br,15.184,-1.0656,6.54595
4959.,4173.,Ma,15.726,-2.2315,6.6559
5201.,4865.,Co,13.252,-10.475,2.9777
5021.,4321.,Urb,15.838,-4.7399,7.2516
4751.,5139.,Op,7.3782,-10.734,-2.10483
4895.,4447.,Br,14.729,-3.4302,5.577
5017.,4571.,Urb,14.431,-6.7892,5.665
5005.,5085.,We,11.841,-11.912,1.94905
5037.,5125.,Co,11.304,-11.149,1.66905
5095.,4175.,Ma,16.061,-3.0523,7.1206
5225.,4685.,Co,14.655,-8.7735,5.0547
5133.,4533.,Br,15.306,-7.088,6.1823
5317.,4345.,Co,15.86,-6.2792,6.40605
5195.,4219.,Ma,16.3,-3.6125,7.0807
5079.,4567.,Co,14.637,-7.1699,5.76645
5345.,4631.,Co,14.899,-8.7038,5.2998
5337.,4585.,Br,14.819,-8.5458,5.3655
5033.,5117.,Co,11.304,-11.149,1.66905
5231.,4467.,Co,15.816,-6.9345,6.71665
4927.,4131.,Ma,15.267,-0.71243,6.445
5129.,4583.,Br,14.516,-7.6637,5.5545
5175.,4655.,Co,14.704,-8.3369,5.28895
4961.,4479.,Br,15.296,-5.3322,6.68805
5181.,4639.,Co,14.898,-8.0098,5.60855
5385.,4533.,Co,15.2,-8.0584,5.7504
5271.,4355.,Br,16.642,-5.8041,7.27855
5301.,4455.,Co,16.143,-6.6932,6.69345
5123.,4893.,Co,13.143,-10.165,3.19036
5123.,4683.,We,14.616,-8.308,5.36235
5291.,4673.,We,14.492,-9.286,4.676415
4965.,5207.,Op,10.375,-12.656,0.69965
5021.,4277.,Urb,15.864,-4.2987,7.3633
4887.,5059.,Co,12.071,-11.81,2.1913
5123.,4229.,Urb,16.256,-4.1273,7.48825
5083.,4219.,Urb,15.999,-3.9345,7.395
5169.,4949.,We,12.691,-11.153,2.69789
5107.,4237.,Br,15.934,-4.2052,7.26915
5113.,4269.,Co,15.989,-4.6312,7.30335
5177.,4705.,Co,14.633,-8.6164,5.04375
5173.,4815.,Co,13.526,-10.175,3.613642
5233.,4373.,Co,16.476,-6.0146,7.2132
5131.,4413.,Br,15.585,-6.2243,6.5872
5185.,4465.,Co,15.524,-6.9399,6.51875
5185.,4759.,Co,13.851,-9.2655,4.151785
4929.,4525.,Ma,15.134,-4.6279,6.32245
5185.,4849.,Co,13.507,-10.332,3.471555
4963.,4437.,Co,14.729,-5.5348,6.2695
4967.,4251.,Co,15.602,-2.7853,6.73455
5001.,4811.,Br,14.196,-8.5558,4.16643
5195.,4309.,Co,16.443,-5.0177,7.5438
5367.,4495.,Br,15.303,-7.534,6.03345
5343.,4617.,Co,14.896,-8.6837,5.303
5219.,4881.,We,13.122,-10.516,2.86546
5277.,4521.,We,16.078,-7.3409,5.7661
4971.,4617.,Ma,14.799,-5.488,5.84195
5071.,5021.,Co,12.77,-11.233,2.76318
4981.,4809.,Ma,14.161,-8.432,4.24632
4981.,5071.,Co,11.818,-11.878,2.0511
5145.,4779.,We,14.155,-9.2568,4.399355
5119.,4977.,Op,13.033,-10.726,3.232025
4903.,5059.,Co,11.629,-11.118,1.85325
5131.,4913.,Co,13.105,-10.494,3.11899
5067.,4907.,Co,13.568,-10.052,3.680535
5163.,4871.,Co,13.265,-10.337,3.158085
5095.,4753.,Co,14.581,-8.4204,4.7483
5317.,4359.,Br,15.86,-6.2792,6.40605
5085.,4179.,Co,16.061,-3.0523,7.1206
4949.,5241.,Op,10.017,-12.721,0.4037
5143.,4391.,Br,15.842,-5.7315,6.5131
5073.,4339.,Co,15.924,-5.0151,7.17745
4957.,4997.,Op,12.98,-10.971,3.2404645
5163.,4893.,Co,13.123,-10.434,2.94643
4989.,4167.,Ma,16.394,-2.536,7.3701
5299.,4405.,We,16.34,-6.3594,6.80115
5177.,4833.,Co,13.556,-10.337,3.568216
4997.,4503.,Urb,15.04,-6.0475,6.39145
5131.,4239.,Urb,16.727,-3.836,7.84555
5337.,4433.,Co,15.717,-6.7436,6.4766
5153.,4207.,Ma,16.71,-2.867,7.79015
4931.,4319.,Ma,15.342,-3.0449,6.66835
4911.,4361.,Ma,14.338,-2.5579,5.5198
5257.,4563.,Br,15.168,-8.1307,5.53465
5255.,4381.,Co,16.266,-6.333,6.9989
5175.,4257.,Br,16.552,-4.388,7.67945
5157.,4863.,Br,13.428,-10.311,3.371605
5041.,4713.,Co,14.69,-7.0608,5.32115
5097.,4373.,Co,15.712,-5.47,6.71645
5133.,4403.,We,15.842,-5.7315,6.5131
4883.,5061.,Co,12.071,-11.81,2.1913
5027.,4171.,Co,16.09,-2.7169,7.1863
5031.,4569.,We,14.444,-6.9218,5.68315
4999.,4541.,Co,14.905,-6.2852,6.1789
5097.,4443.,Co,14.967,-6.6493,6.1725
4931.,5011.,Co,12.31,-10.865,2.65387
5007.,4583.,Co,14.308,-6.0796,5.3611
5235.,4439.,Br,15.767,-6.7549,6.7275
4911.,4151.,Ma,15.267,-0.71243,6.445
5005.,5249.,Op,10.109,-12.143,0.66215
5171.,4373.,Br,15.872,-5.745,6.6235
5161.,4511.,We,15.339,-7.1545,6.2515
5149.,4833.,Co,13.648,-10.216,3.75731
5245.,4353.,Co,16.476,-6.0146,7.2132
5053.,4729.,Urb,14.942,-7.3682,5.36645
4999.,4545.,Br,14.905,-6.2852,6.1789
5167.,4773.,Op,13.948,-9.5788,4.162425
4935.,5053.,Co,12.012,-10.936,2.297045
5387.,4539.,Co,15.2,-8.0584,5.7504
5101.,4393.,Co,15.771,-5.8859,6.7913
4939.,4433.,Urb,14.786,-4.6611,6.0222
5307.,4441.,Urb,16.143,-6.6932,6.69345
5133.,4633.,Co,14.684,-7.8145,5.6151
5387.,4533.,Co,15.2,-8.0584,5.7504
5239.,4365.,Co,16.424,-5.9371,7.2688
5165.,4841.,Co,13.61,-10.32,3.671592
4973.,4595.,Co,14.799,-5.488,5.84195
5097.,4267.,Br,16.053,-4.7398,7.46675
4965.,4441.,Co,14.994,-5.5229,6.4909
5073.,4775.,Co,14.452,-8.2255,4.32958
4887.,4515.,Br,15.317,-4.1213,6.3404
5069.,4531.,Co,14.775,-6.9087,5.8847
5221.,4575.,Br,15.598,-7.7242,5.89845
4957.,4585.,Br,14.302,-4.8392,5.3767
5063.,4817.,We,14.281,-8.721,4.204585
5025.,5029.,Co,12.733,-11.573,2.690535
5021.,4921.,Co,13.89,-9.7995,4.047345
5367.,4531.,Co,15.3,-8.2479,5.6531
4917.,5039.,Co,12.008,-10.714,2.387525
5197.,4447.,Co,15.473,-6.7661,6.6141
5047.,4659.,Br,14.648,-7.2926,5.54975
5053.,4605.,Br,14.495,-7.2815,5.69575
5253.,4535.,Br,15.9,-7.4218,5.87175
5123.,4505.,Co,15.557,-6.7908,6.47825
5109.,4813.,Co,14.283,-9.451,4.36463
4969.,4245.,Co,15.602,-2.7853,6.73455
5103.,4805.,Co,14.46,-9.0813,4.565555
5211.,4587.,Br,15.332,-7.8272,5.83045
5153.,4625.,Co,14.698,-7.8987,5.5573
4903.,5025.,Br,12.225,-11.326,2.538965
5061.,4491.,Co,14.763,-6.7487,5.94375
4771.,5129.,Op,9.233,-12.136,-0.6868
4921.,5119.,Op,10.756,-11.737,0.72175
5251.,4351.,Co,16.633,-5.8087,7.3012
5103.,4765.,Co,14.531,-8.6648,4.7334
5347.,4535.,Co,15.448,-7.9916,5.6618
5031.,4769.,Co,14.552,-7.4454,4.1586
5133.,4839.,Co,13.585,-10.066,3.7029935
5027.,5065.,Op,12.136,-11.969,1.991
5129.,5099.,Co,11.819,-10.14,2.271505
4941.,4193.,Ma,15.726,-2.2315,6.6559
5101.,4795.,We,14.514,-8.899,4.580915
4993.,4395.,Co,14.871,-5.493,6.3441
5071.,5147.,Co,12.242,-10.102,2.8558
4991.,4173.,Ma,16.394,-2.536,7.3701
5155.,4397.,Co,15.456,-6.1306,6.4564
4973.,4925.,Br,13.577,-10.375,3.844745
4875.,5075.,Co,11.564,-12.031,1.38615
5125.,5041.,Co,12.172,-10.967,2.33911
4991.,4461.,Urb,14.917,-5.8376,6.42025
5155.,4211.,Ma,16.765,-3.7575,7.8348
5071.,4459.,Co,14.803,-6.4511,6.1304
5021.,5085.,Co,11.747,-11.92,1.7804
5155.,4571.,Co,15.142,-7.5593,5.90075
4925.,4455.,Co,14.786,-4.6611,6.0222
5245.,4479.,We,16.319,-6.7313,6.75665
